governor,state,year,party
Rufus Brown Bullock,Georgia,1868,Republican
Richard James Oglesby,Illinois,1868,Republican
Conrad Baker,Indiana,1868,Republican
Samuel Merrill,Iowa,1868,Republican
Nehemiah Green,Kansas,1868,Republican
John White Stevenson,Kentucky,1868,Democratic
Henry Clay Warmoth,Louisiana,1868,Republican
Joshua Lawrence Chamberlain,Maine,1868,Republican
Thomas Swann,Maryland,1868,American; Unionist; Democrat
Alexander Hamilton Bullock,Massachusetts,1868,Republican
Henry Howland Crapo,Michigan,1868,Republican
William Rainey Marshall,Minnesota,1868,Republican
Adelbert Ames,Mississippi,1868,"Military (1st term), Republican"
Thomas Clement Fletcher,Missouri,1868,Republican
David Butler,Nebraska,1868,Republican
Henry Goode Blasdel,Nevada,1868,Republican
Walter Harriman,New Hampshire,1868,Republican
Marcus Lawrence Ward,New Jersey,1868,Republican
Reuben Eaton Fenton,New York,1868,Union
William Woods Holden,North Carolina,1868,Republican
Rutherford Birchard Hayes,Ohio,1868,Republican
George Lemuel Woods,Oregon,1868,Republican
John White Geary,Pennsylvania,1868,Republican
Ambrose Everett Burnside,Rhode Island,1868,Republican
Robert Kingston Scott,South Carolina,1868,Republican
William Gannaway Brownlow,Tennessee,1868,Whig/Know-Nothing
Elisha Marshall Pease,Texas,1868,Republican
John B. Page,Vermont,1868,Republican
Henry Horatio Wells,Virginia,1868,Republican
Arthur Ingraham Boreman,West Virginia,1868,Unionist (Republican)
Lucius Fairchild,Wisconsin,1868,Republican
Robert Miller Patton,Alabama,1867,"Whig, Republican"
Isaac Murphy,Arkansas,1867,Democrat
Henry Huntly Haight,California,1867,"Republican, Democrat"
James Edward English,Connecticut,1867,Democrat
Gove Saulsbury,Delaware,1867,Democrat
David Shelby Walker,Florida,1867,Democrat
Charles Jones Jenkins,Georgia,1867,Union Democrat
Richard James Oglesby,Illinois,1867,Republican
Conrad Baker,Indiana,1867,Republican
William Milo Stone,Iowa,1867,Republican
Samuel Johnson Crawford,Kansas,1867,Republican
John White Stevenson,Kentucky,1867,Democratic
Benjamin Franklin Flanders,Louisiana,1867,Republican
Joshua Lawrence Chamberlain,Maine,1867,Republican
Thomas Swann,Maryland,1867,American; Unionist; Democrat
Alexander Hamilton Bullock,Massachusetts,1867,Republican
Henry Howland Crapo,Michigan,1867,Republican
William Rainey Marshall,Minnesota,1867,Republican
Benjamin Grubb Humphreys,Mississippi,1867,Democratic
Thomas Clement Fletcher,Missouri,1867,Republican
David Butler,Nebraska,1867,Republican
Henry Goode Blasdel,Nevada,1867,Republican
Walter Harriman,New Hampshire,1867,Republican
Marcus Lawrence Ward,New Jersey,1867,Republican
Reuben Eaton Fenton,New York,1867,Union
Jonathan Worth,North Carolina,1867,Democratic
Jacob Dolson Cox,Ohio,1867,Republican
George Lemuel Woods,Oregon,1867,Republican
John White Geary,Pennsylvania,1867,Republican
Ambrose Everett Burnside,Rhode Island,1867,Republican
James Lawrence Orr,South Carolina,1867,Conservative
William Gannaway Brownlow,Tennessee,1867,Whig/Know-Nothing
Elisha Marshall Pease,Texas,1867,Republican
John B. Page,Vermont,1867,Republican
Arthur Ingraham Boreman,West Virginia,1867,Unionist (Republican)
Lucius Fairchild,Wisconsin,1867,Republican
Robert Miller Patton,Alabama,1866,"Whig, Republican"
Isaac Murphy,Arkansas,1866,Democrat
Frederick Ferdinand Low,California,1866,Union
Joseph Roswell Hawley,Connecticut,1866,Republican
Gove Saulsbury,Delaware,1866,Democrat
David Shelby Walker,Florida,1866,Democrat
Charles Jones Jenkins,Georgia,1866,Union Democrat
Richard James Oglesby,Illinois,1866,Republican
Oliver Perry Morton,Indiana,1866,Republican
William Milo Stone,Iowa,1866,Republican
Samuel Johnson Crawford,Kansas,1866,Republican
Thomas Elliott Bramlette,Kentucky,1866,Democratic
James Madison Wells,Louisiana,1866,Republican
Samuel Cony,Maine,1866,Republican
Thomas Swann,Maryland,1866,American; Unionist; Democrat
Alexander Hamilton Bullock,Massachusetts,1866,Republican
Henry Howland Crapo,Michigan,1866,Republican
William Rainey Marshall,Minnesota,1866,Republican
Benjamin Grubb Humphreys,Mississippi,1866,Democratic
Thomas Clement Fletcher,Missouri,1866,Republican
Henry Goode Blasdel,Nevada,1866,Republican
Frederick Smyth,New Hampshire,1866,Republican
Marcus Lawrence Ward,New Jersey,1866,Republican
Reuben Eaton Fenton,New York,1866,Union
Jonathan Worth,North Carolina,1866,Democratic
Jacob Dolson Cox,Ohio,1866,Republican
George Lemuel Woods,Oregon,1866,Republican
Andrew Gregg Curtin,Pennsylvania,1866,Republican (People's Party)
Ambrose Everett Burnside,Rhode Island,1866,Republican
James Lawrence Orr,South Carolina,1866,Conservative
William Gannaway Brownlow,Tennessee,1866,Whig/Know-Nothing
James Webb Throckmorton,Texas,1866,Conservative
Paul Dillingham,Vermont,1866,Republican
Arthur Ingraham Boreman,West Virginia,1866,Unionist (Republican)
Lucius Fairchild,Wisconsin,1866,Republican
Robert Miller Patton,Alabama,1865,"Whig, Republican"
Isaac Murphy,Arkansas,1865,Democrat
Frederick Ferdinand Low,California,1865,Union
William Alfred Buckingham,Connecticut,1865,Republican
Gove Saulsbury,Delaware,1865,Democrat
David Shelby Walker,Florida,1865,Democrat
Charles Jones Jenkins,Georgia,1865,Union Democrat
Richard James Oglesby,Illinois,1865,Republican
Oliver Perry Morton,Indiana,1865,Republican
William Milo Stone,Iowa,1865,Republican
Samuel Johnson Crawford,Kansas,1865,Republican
Thomas Elliott Bramlette,Kentucky,1865,Democratic
James Madison Wells,Louisiana,1865,Republican
Samuel Cony,Maine,1865,Republican
Augustus Williamson Bradford,Maryland,1865,Whig; Unionist; Democrat
John Albion Andrew,Massachusetts,1865,Republican
Henry Howland Crapo,Michigan,1865,Republican
Stephen Miller,Minnesota,1865,Republican
Benjamin Grubb Humphreys,Mississippi,1865,Democratic
Thomas Clement Fletcher,Missouri,1865,Republican
Henry Goode Blasdel,Nevada,1865,Republican
Frederick Smyth,New Hampshire,1865,Republican
Joel Parker,New Jersey,1865,Democratic
Reuben Eaton Fenton,New York,1865,Union
Jonathan Worth,North Carolina,1865,Democratic
Charles Anderson,Ohio,1865,Union
Addison C. Gibbs,Oregon,1865,Republican
Andrew Gregg Curtin,Pennsylvania,1865,Republican (People's Party)
James Youngs Smith,Rhode Island,1865,Republican
James Lawrence Orr,South Carolina,1865,Conservative
William Gannaway Brownlow,Tennessee,1865,Whig/Know-Nothing
Andrew Jackson Hamilton,Texas,1865,Conservative Republican
Paul Dillingham,Vermont,1865,Republican
William Smith,Virginia,1865,Democrat
Arthur Ingraham Boreman,West Virginia,1865,Unionist (Republican)
James Taylor Lewis,Wisconsin,1865,Republican
Thomas Hill Watts,Alabama,1864,Whig
Isaac Murphy,Arkansas,1864,Democrat
Frederick Ferdinand Low,California,1864,Union
William Alfred Buckingham,Connecticut,1864,Republican
William Cannon,Delaware,1864,Union
John Milton,Florida,1864,Democrat
Joseph Emerson Brown,Georgia,1864,Democrat
Richard Yates,Illinois,1864,Republican
Oliver Perry Morton,Indiana,1864,Republican
William Milo Stone,Iowa,1864,Republican
Thomas Carney,Kansas,1864,Republican
Thomas Elliott Bramlette,Kentucky,1864,Democratic
Henry Watkins Allen,Louisiana,1864,Democratic
Samuel Cony,Maine,1864,Republican
Augustus Williamson Bradford,Maryland,1864,Whig; Unionist; Democrat
John Albion Andrew,Massachusetts,1864,Republican
Austin Blair,Michigan,1864,Republican
Stephen Miller,Minnesota,1864,Republican
Charles Clark,Mississippi,1864,Democratic
Willard Preble Hall,Missouri,1864,Union
Henry Goode Blasdel,Nevada,1864,Republican
Joseph Albree Gilmore,New Hampshire,1864,Republican
Joel Parker,New Jersey,1864,Democratic
Horatio Seymour,New York,1864,Democratic
Zebulon Baird Vance,North Carolina,1864,Democratic
John Brough,Ohio,1864,Union
Addison C. Gibbs,Oregon,1864,Republican
Andrew Gregg Curtin,Pennsylvania,1864,Republican (People's Party)
James Youngs Smith,Rhode Island,1864,Republican
Andrew Gordon MacGrath,South Carolina,1864,Democrat
Andrew Johnson,Tennessee,1864,Democrat
Pendleton Murrah,Texas,1864,Democrat
John Gregory Smith,Vermont,1864,Republican
William Smith,Virginia,1864,Democrat
Arthur Ingraham Boreman,West Virginia,1864,Unionist (Republican)
James Taylor Lewis,Wisconsin,1864,Republican
Thomas Hill Watts,Alabama,1863,Whig
Harris Flanagin,Arkansas,1863,Democrat
Frederick Ferdinand Low,California,1863,Union
William Alfred Buckingham,Connecticut,1863,Republican
William Cannon,Delaware,1863,Union
John Milton,Florida,1863,Democrat
Joseph Emerson Brown,Georgia,1863,Democrat
Richard Yates,Illinois,1863,Republican
Oliver Perry Morton,Indiana,1863,Republican
Samuel Jordan Kirkwood,Iowa,1863,Republican
Thomas Carney,Kansas,1863,Republican
Thomas Elliott Bramlette,Kentucky,1863,Democratic
George Foster Shepley,Louisiana,1863,Federal Military Rule
Abner Coburn,Maine,1863,Republican
Augustus Williamson Bradford,Maryland,1863,Whig; Unionist; Democrat
John Albion Andrew,Massachusetts,1863,Republican
Austin Blair,Michigan,1863,Republican
Henry Adoniram Swift,Minnesota,1863,Republican
Charles Clark,Mississippi,1863,Democratic
Hamilton Rowan Gamble,Missouri,1863,Union
Joseph Albree Gilmore,New Hampshire,1863,Republican
Joel Parker,New Jersey,1863,Democratic
Horatio Seymour,New York,1863,Democratic
Zebulon Baird Vance,North Carolina,1863,Democratic
David Tod,Ohio,1863,Union
Addison C. Gibbs,Oregon,1863,Republican
Andrew Gregg Curtin,Pennsylvania,1863,Republican (People's Party)
James Youngs Smith,Rhode Island,1863,Republican
Milledge Luke Bonham,South Carolina,1863,Democrat
Andrew Johnson,Tennessee,1863,Democrat
Pendleton Murrah,Texas,1863,Democrat
John Gregory Smith,Vermont,1863,Republican
John Letcher,Virginia,1863,Democrat
Arthur Ingraham Boreman,West Virginia,1863,Unionist (Republican)
Edward Salomon,Wisconsin,1863,Republican
John Gill Shorter,Alabama,1862,Democrat
Harris Flanagin,Arkansas,1862,Democrat
Amasa Leland Stanford,California,1862,Republican
William Alfred Buckingham,Connecticut,1862,Republican
William Burton,Delaware,1862,Democrat
John Milton,Florida,1862,Democrat
Joseph Emerson Brown,Georgia,1862,Democrat
Richard Yates,Illinois,1862,Republican
Oliver Perry Morton,Indiana,1862,Republican
Samuel Jordan Kirkwood,Iowa,1862,Republican
Charles Lawrence Robinson,Kansas,1862,Republican
James Fisher Robinson,Kentucky,1862,Democratic
George Foster Shepley,Louisiana,1862,Federal Military Rule
Israel Washburn,Maine,1862,Republican
Augustus Williamson Bradford,Maryland,1862,Whig; Unionist; Democrat
John Albion Andrew,Massachusetts,1862,Republican
Austin Blair,Michigan,1862,Republican
Alexander Ramsey,Minnesota,1862,Republican
John Jones Pettus,Mississippi,1862,Democratic
Hamilton Rowan Gamble,Missouri,1862,Union
Nathaniel Springer Berry,New Hampshire,1862,
Charles Smith Olden,New Jersey,1862,Republican
Edwin Denison Morgan,New York,1862,Republican
Zebulon Baird Vance,North Carolina,1862,Democratic
David Tod,Ohio,1862,Union
Addison C. Gibbs,Oregon,1862,Republican
Andrew Gregg Curtin,Pennsylvania,1862,Republican (People's Party)
William Sprague,Rhode Island,1862,Republican
Milledge Luke Bonham,South Carolina,1862,Democrat
Andrew Johnson,Tennessee,1862,Democrat
Francis Richard Lubbock,Texas,1862,Democrat
Frederick Holbrook,Vermont,1862,Republican
John Letcher,Virginia,1862,Democrat
Edward Salomon,Wisconsin,1862,Republican
John Gill Shorter,Alabama,1861,Democrat
Henry Massey Rector,Arkansas,1861,Democrat
John G. Downey,California,1861,Democrat
William Alfred Buckingham,Connecticut,1861,Republican
William Burton,Delaware,1861,Democrat
John Milton,Florida,1861,Democrat
Joseph Emerson Brown,Georgia,1861,Democrat
Richard Yates,Illinois,1861,Republican
Oliver Perry Morton,Indiana,1861,Republican
Samuel Jordan Kirkwood,Iowa,1861,Republican
Charles Lawrence Robinson,Kansas,1861,Republican
Beriah Magoffin,Kentucky,1861,Democratic
Thomas Overton Moore,Louisiana,1861,Democratic
Israel Washburn,Maine,1861,Republican
Thomas Holliday Hicks,Maryland,1861,Whig; Democrat; American; Constitutional Unionist; Republican
John Albion Andrew,Massachusetts,1861,Republican
Austin Blair,Michigan,1861,Republican
Alexander Ramsey,Minnesota,1861,Republican
John Jones Pettus,Mississippi,1861,Democratic
Hamilton Rowan Gamble,Missouri,1861,Union
Nathaniel Springer Berry,New Hampshire,1861,
Charles Smith Olden,New Jersey,1861,Republican
Edwin Denison Morgan,New York,1861,Republican
Henry Toole Clark,North Carolina,1861,Democratic
William Dennison,Ohio,1861,Republican
John Whiteaker,Oregon,1861,Democrat
Andrew Gregg Curtin,Pennsylvania,1861,Republican (People's Party)
William Sprague,Rhode Island,1861,Republican
Francis Wilkinson Pickens,South Carolina,1861,
Isham Green Harris,Tennessee,1861,Democrat
Francis Richard Lubbock,Texas,1861,Democrat
Frederick Holbrook,Vermont,1861,Republican
John Letcher,Virginia,1861,Democrat
Alexander Williams Randall,Wisconsin,1861,Republican
Andrew Barry Moore,Alabama,1860,Democrat
Henry Massey Rector,Arkansas,1860,Democrat
John G. Downey,California,1860,Democrat
William Alfred Buckingham,Connecticut,1860,Republican
William Burton,Delaware,1860,Democrat
Madison Starke Perry,Florida,1860,Democrat
Joseph Emerson Brown,Georgia,1860,Democrat
John Wood,Illinois,1860,Republican
Abram Adams Hammond,Indiana,1860,Democrat
Samuel Jordan Kirkwood,Iowa,1860,Republican
Beriah Magoffin,Kentucky,1860,Democratic
Thomas Overton Moore,Louisiana,1860,Democratic
Myrick Lot Morrill,Maine,1860,Republican
Thomas Holliday Hicks,Maryland,1860,Whig; Democrat; American; Constitutional Unionist; Republican
Nathaniel Prentice Banks,Massachusetts,1860,Republican
Moses Wisner,Michigan,1860,Republican
Alexander Ramsey,Minnesota,1860,Republican
John Jones Pettus,Mississippi,1860,Democratic
Robert Marcellus Stewart,Missouri,1860,Democratic
Icabod Goodwin,New Hampshire,1860,Republican
Charles Smith Olden,New Jersey,1860,Republican
Edwin Denison Morgan,New York,1860,Republican
John Willis Ellis,North Carolina,1860,Democratic
William Dennison,Ohio,1860,Republican
John Whiteaker,Oregon,1860,Democrat
William Fisher Packer,Pennsylvania,1860,Democrat
William Sprague,Rhode Island,1860,Republican
Francis Wilkinson Pickens,South Carolina,1860,
Isham Green Harris,Tennessee,1860,Democrat
Samuel Houston,Texas,1860,Union Democrat
Erastus Fairbanks,Vermont,1860,Whig (first term); Republican (second term)
John Letcher,Virginia,1860,Democrat
Alexander Williams Randall,Wisconsin,1860,Republican
Andrew Barry Moore,Alabama,1859,Democrat
Elias Nelson Conway,Arkansas,1859,Democrat
John B. Weller,California,1859,Democrat
William Alfred Buckingham,Connecticut,1859,Republican
William Burton,Delaware,1859,Democrat
Madison Starke Perry,Florida,1859,Democrat
Joseph Emerson Brown,Georgia,1859,Democrat
William Henry Bissell,Illinois,1859,"Democrat, Republican"
Ashbel Parsons Willard,Indiana,1859,Democrat
Ralph Phillips Lowe,Iowa,1859,Republican
Beriah Magoffin,Kentucky,1859,Democratic
Robert Wickliffe,Louisiana,1859,Democratic
Myrick Lot Morrill,Maine,1859,Republican
Thomas Holliday Hicks,Maryland,1859,Whig; Democrat; American; Constitutional Unionist; Republican
Nathaniel Prentice Banks,Massachusetts,1859,Republican
Moses Wisner,Michigan,1859,Republican
Henry Hastings Sibley,Minnesota,1859,Democratic
John Jones Pettus,Mississippi,1859,Democratic
Robert Marcellus Stewart,Missouri,1859,Democratic
Icabod Goodwin,New Hampshire,1859,Republican
William Augustus Newell,New Jersey,1859,Republican
Edwin Denison Morgan,New York,1859,Republican
John Willis Ellis,North Carolina,1859,Democratic
Salmon Portland Chase,Ohio,1859,Republican
John Whiteaker,Oregon,1859,Democrat
William Fisher Packer,Pennsylvania,1859,Democrat
Thomas Goodwin Turner,Rhode Island,1859,Republican
William Henry Gist,South Carolina,1859,Democrat
Isham Green Harris,Tennessee,1859,Democrat
Samuel Houston,Texas,1859,Union Democrat
Hiland Hall,Vermont,1859,Republican
Henry Alexander Wise,Virginia,1859,Democrat
Alexander Williams Randall,Wisconsin,1859,Republican
Andrew Barry Moore,Alabama,1858,Democrat
Elias Nelson Conway,Arkansas,1858,Democrat
John B. Weller,California,1858,Democrat
William Alfred Buckingham,Connecticut,1858,Republican
Peter Foster Causey,Delaware,1858,Whig
Madison Starke Perry,Florida,1858,Democrat
Joseph Emerson Brown,Georgia,1858,Democrat
William Henry Bissell,Illinois,1858,"Democrat, Republican"
Ashbel Parsons Willard,Indiana,1858,Democrat
Ralph Phillips Lowe,Iowa,1858,Republican
Charles Slaughter Morehead,Kentucky,1858,American
Robert Wickliffe,Louisiana,1858,Democratic
Myrick Lot Morrill,Maine,1858,Republican
Thomas Holliday Hicks,Maryland,1858,Whig; Democrat; American; Constitutional Unionist; Republican
Nathaniel Prentice Banks,Massachusetts,1858,Republican
Kinsley Scott Bingham,Michigan,1858,Republican
Henry Hastings Sibley,Minnesota,1858,Democratic
William McWillie,Mississippi,1858,Democratic
Robert Marcellus Stewart,Missouri,1858,Democratic
William Haile,New Hampshire,1858,Republican
William Augustus Newell,New Jersey,1858,Republican
John Alsop King,New York,1858,Republican
Thomas Bragg,North Carolina,1858,Democratic
Salmon Portland Chase,Ohio,1858,Republican
William Fisher Packer,Pennsylvania,1858,Democrat
Elisha Dyer,Rhode Island,1858,Republican
William Henry Gist,South Carolina,1858,Democrat
Isham Green Harris,Tennessee,1858,Democrat
Hardin Richard Runnels,Texas,1858,Democrat
Hiland Hall,Vermont,1858,Republican
Henry Alexander Wise,Virginia,1858,Democrat
Alexander Williams Randall,Wisconsin,1858,Republican
Andrew Barry Moore,Alabama,1857,Democrat
Elias Nelson Conway,Arkansas,1857,Democrat
John Neely Johnson,California,1857,American (Know-Nothing)
Alexander Hamilton Holley,Connecticut,1857,Whig
Peter Foster Causey,Delaware,1857,Whig
Madison Starke Perry,Florida,1857,Democrat
Joseph Emerson Brown,Georgia,1857,Democrat
William Henry Bissell,Illinois,1857,"Democrat, Republican"
Ashbel Parsons Willard,Indiana,1857,Democrat
James Wilson Grimes,Iowa,1857,Whig
Charles Slaughter Morehead,Kentucky,1857,American
Robert Wickliffe,Louisiana,1857,Democratic
Joseph Hartwell Williams,Maine,1857,Republican
Thomas Watkins Ligon,Maryland,1857,Democrat
Henry Joseph Gardner,Massachusetts,1857,American (Know-Nothing)
Kinsley Scott Bingham,Michigan,1857,Republican
William McWillie,Mississippi,1857,Democratic
Robert Marcellus Stewart,Missouri,1857,Democratic
William Haile,New Hampshire,1857,Republican
William Augustus Newell,New Jersey,1857,Republican
John Alsop King,New York,1857,Republican
Thomas Bragg,North Carolina,1857,Democratic
Salmon Portland Chase,Ohio,1857,Republican
James Pollock,Pennsylvania,1857,Whig; Republican
Elisha Dyer,Rhode Island,1857,Republican
Robert Francis Withers Allston,South Carolina,1857,Democrat
Isham Green Harris,Tennessee,1857,Democrat
Hardin Richard Runnels,Texas,1857,Democrat
Ryland Fletcher,Vermont,1857,Republican
Henry Alexander Wise,Virginia,1857,Democrat
Coles Bashford,Wisconsin,1857,Republican
John Anthony Winston,Alabama,1856,Democrat
Elias Nelson Conway,Arkansas,1856,Democrat
John Neely Johnson,California,1856,American (Know-Nothing)
William Thomas Minor,Connecticut,1856,American
Peter Foster Causey,Delaware,1856,Whig
James Emilius Broome,Florida,1856,Democrat
Herschel Vespasian Johnson,Georgia,1856,Democrat
Joel Aldrich Matteson,Illinois,1856,Democrat
Joseph Albert Wright,Indiana,1856,Democrat
James Wilson Grimes,Iowa,1856,Whig
Charles Slaughter Morehead,Kentucky,1856,American
Robert Wickliffe,Louisiana,1856,Democratic
Samuel Wells,Maine,1856,Democrat
Thomas Watkins Ligon,Maryland,1856,Democrat
Henry Joseph Gardner,Massachusetts,1856,American (Know-Nothing)
Kinsley Scott Bingham,Michigan,1856,Republican
John Jones McRae,Mississippi,1856,Democratic
Sterling Price,Missouri,1856,Democratic
Ralph Metcalf,New Hampshire,1856,Know-Nothing
Rodman M. Price,New Jersey,1856,Democratic
Myron Holley Clark,New York,1856,Republican
Thomas Bragg,North Carolina,1856,Democratic
Salmon Portland Chase,Ohio,1856,Republican
James Pollock,Pennsylvania,1856,Whig; Republican
William Warner Hoppin,Rhode Island,1856,AP
Robert Francis Withers Allston,South Carolina,1856,Democrat
Andrew Johnson,Tennessee,1856,Democrat
Elisha Marshall Pease,Texas,1856,Republican
Ryland Fletcher,Vermont,1856,Republican
Henry Alexander Wise,Virginia,1856,Democrat
Coles Bashford,Wisconsin,1856,Republican
John Anthony Winston,Alabama,1855,Democrat
Elias Nelson Conway,Arkansas,1855,Democrat
John Bigler,California,1855,Democrat
William Thomas Minor,Connecticut,1855,American
Peter Foster Causey,Delaware,1855,Whig
James Emilius Broome,Florida,1855,Democrat
Herschel Vespasian Johnson,Georgia,1855,Democrat
Joel Aldrich Matteson,Illinois,1855,Democrat
Joseph Albert Wright,Indiana,1855,Democrat
James Wilson Grimes,Iowa,1855,Whig
Charles Slaughter Morehead,Kentucky,1855,American
Paul Octave Hebert,Louisiana,1855,Democratic
Anson Peaslee Morrill,Maine,1855,Republican
Thomas Watkins Ligon,Maryland,1855,Democrat
Henry Joseph Gardner,Massachusetts,1855,American (Know-Nothing)
Kinsley Scott Bingham,Michigan,1855,Republican
John Jones McRae,Mississippi,1855,Democratic
Sterling Price,Missouri,1855,Democratic
Ralph Metcalf,New Hampshire,1855,Know-Nothing
Rodman M. Price,New Jersey,1855,Democratic
Myron Holley Clark,New York,1855,Republican
Thomas Bragg,North Carolina,1855,Democratic
William Medill,Ohio,1855,Democratic
James Pollock,Pennsylvania,1855,Whig; Republican
William Warner Hoppin,Rhode Island,1855,AP
James Hopkins Adams,South Carolina,1855,Democrat
Andrew Johnson,Tennessee,1855,Democrat
Elisha Marshall Pease,Texas,1855,Republican
Stephen Royce,Vermont,1855,Whig (first term); Republican (second term)
Joseph Johnson,Virginia,1855,Democrat
William Augustus Barstow,Wisconsin,1855,Democrat
John Anthony Winston,Alabama,1854,Democrat
Elias Nelson Conway,Arkansas,1854,Democrat
John Bigler,California,1854,Democrat
Henry Dutton,Connecticut,1854,Whig
William Henry Harrison Ross,Delaware,1854,Democrat
James Emilius Broome,Florida,1854,Democrat
Herschel Vespasian Johnson,Georgia,1854,Democrat
Joel Aldrich Matteson,Illinois,1854,Democrat
Joseph Albert Wright,Indiana,1854,Democrat
James Wilson Grimes,Iowa,1854,Whig
Lazarus Whitehead Powell,Kentucky,1854,Democrat
Paul Octave Hebert,Louisiana,1854,Democratic
William George Crosby,Maine,1854,Whig
Thomas Watkins Ligon,Maryland,1854,Democrat
Emory Washburn,Massachusetts,1854,Whig
Andrew Parsons,Michigan,1854,Democratic
John Jones McRae,Mississippi,1854,Democratic
Sterling Price,Missouri,1854,Democratic
Nathaniel Bradley Baker,New Hampshire,1854,Democratic
Rodman M. Price,New Jersey,1854,Democratic
Horatio Seymour,New York,1854,Democratic
Warren Winslow,North Carolina,1854,Democratic
William Medill,Ohio,1854,Democratic
William Bigler,Pennsylvania,1854,Democrat
William Warner Hoppin,Rhode Island,1854,AP
James Hopkins Adams,South Carolina,1854,Democrat
Andrew Johnson,Tennessee,1854,Democrat
Elisha Marshall Pease,Texas,1854,Republican
Stephen Royce,Vermont,1854,Whig (first term); Republican (second term)
Joseph Johnson,Virginia,1854,Democrat
William Augustus Barstow,Wisconsin,1854,Democrat
John Anthony Winston,Alabama,1853,Democrat
Elias Nelson Conway,Arkansas,1853,Democrat
John Bigler,California,1853,Democrat
Charles Hobby Pond,Connecticut,1853,Democrat
William Henry Harrison Ross,Delaware,1853,Democrat
James Emilius Broome,Florida,1853,Democrat
Herschel Vespasian Johnson,Georgia,1853,Democrat
Joel Aldrich Matteson,Illinois,1853,Democrat
Joseph Albert Wright,Indiana,1853,Democrat
Stephen Hempstead,Iowa,1853,Democrat
Lazarus Whitehead Powell,Kentucky,1853,Democrat
Paul Octave Hebert,Louisiana,1853,Democratic
William George Crosby,Maine,1853,Whig
Enoch Louis Lowe,Maryland,1853,Democrat
John Henry Clifford,Massachusetts,1853,Whig
Andrew Parsons,Michigan,1853,Democratic
Henry Stuart Foote,Mississippi,1853,Union-Democratic
Sterling Price,Missouri,1853,Democratic
Noah Martin,New Hampshire,1853,Democratic
George Franklin Fort,New Jersey,1853,Democratic
Horatio Seymour,New York,1853,Democratic
David Settle Reid,North Carolina,1853,Democratic
William Medill,Ohio,1853,Democratic
William Bigler,Pennsylvania,1853,Democrat
Francis M. Dimond,Rhode Island,1853,
John Laurence Manning,South Carolina,1853,Democrat
Andrew Johnson,Tennessee,1853,Democrat
Elisha Marshall Pease,Texas,1853,Republican
John Staniford Robinson,Vermont,1853,Democrat
Joseph Johnson,Virginia,1853,Democrat
Leonard James Farwell,Wisconsin,1853,Whig
Henry Watkins Collier,Alabama,1852,Democrat
Elias Nelson Conway,Arkansas,1852,Democrat
John Bigler,California,1852,Democrat
Thomas H. Seymour,Connecticut,1852,Democrat
William Henry Harrison Ross,Delaware,1852,Democrat
Thomas Brown,Florida,1852,Whig
Howell Cobb,Georgia,1852,Union Democrat
Augustus C. French,Illinois,1852,Democrat
Joseph Albert Wright,Indiana,1852,Democrat
Stephen Hempstead,Iowa,1852,Democrat
Lazarus Whitehead Powell,Kentucky,1852,Democrat
Joseph Marshall Walker,Louisiana,1852,Democratic
John Hubbard,Maine,1852,Democrat
Enoch Louis Lowe,Maryland,1852,Democrat
George Sewall Boutwell,Massachusetts,1852,Democrat
Robert McClelland,Michigan,1852,Democratic
Henry Stuart Foote,Mississippi,1852,Union-Democratic
Austin Augustus King,Missouri,1852,Democratic
Noah Martin,New Hampshire,1852,Democratic
George Franklin Fort,New Jersey,1852,Democratic
Washington Hunt,New York,1852,Democratic
David Settle Reid,North Carolina,1852,Democratic
Reuben Wood,Ohio,1852,Democratic
William Bigler,Pennsylvania,1852,Democrat
Phillip Allen,Rhode Island,1852,DFS
John Laurence Manning,South Carolina,1852,Democrat
William Bowen Campbell,Tennessee,1852,Whig
Peter Hansborough Bell,Texas,1852,Democrat
Erastus Fairbanks,Vermont,1852,Whig (first term); Republican (second term)
Joseph Johnson,Virginia,1852,Democrat
Leonard James Farwell,Wisconsin,1852,Whig
Henry Watkins Collier,Alabama,1851,Democrat
John Selden Roane,Arkansas,1851,Democrat
John McDougal,California,1851,Independent Democrat
Thomas H. Seymour,Connecticut,1851,Democrat
William Henry Harrison Ross,Delaware,1851,Democrat
Thomas Brown,Florida,1851,Whig
Howell Cobb,Georgia,1851,Union Democrat
Augustus C. French,Illinois,1851,Democrat
Joseph Albert Wright,Indiana,1851,Democrat
Stephen Hempstead,Iowa,1851,Democrat
Lazarus Whitehead Powell,Kentucky,1851,Democrat
Joseph Marshall Walker,Louisiana,1851,Democratic
John Hubbard,Maine,1851,Democrat
Enoch Louis Lowe,Maryland,1851,Democrat
George Sewall Boutwell,Massachusetts,1851,Democrat
John Stewart Barry,Michigan,1851,Democratic
James Whitfield,Mississippi,1851,Democratic
Austin Augustus King,Missouri,1851,Democratic
Samuel Dinsmoor,New Hampshire,1851,Democratic
George Franklin Fort,New Jersey,1851,Democratic
Washington Hunt,New York,1851,Democratic
David Settle Reid,North Carolina,1851,Democratic
Reuben Wood,Ohio,1851,Democratic
William Freame Johnston,Pennsylvania,1851,Whig
Phillip Allen,Rhode Island,1851,DFS
John Hugh Means,South Carolina,1851,Democrat
William Bowen Campbell,Tennessee,1851,Whig
Peter Hansborough Bell,Texas,1851,Democrat
Charles Kilborn Williams,Vermont,1851,Whig
John Buchanan Floyd,Virginia,1851,Democrat
